Country,State,Year,Month,Name Of The Fertilizer Used,"Required Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1","Available Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Kerala,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Kerala,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,5321.46
India,Kerala,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Kerala,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,3156.75
India,Kerala,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,1383.70
India,Kerala,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,13799.27
India,Ladakh,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.000000000000000000,79.496091588166325175
India,Ladakh,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.000000000000000000,0.000000000000000000
India,Ladakh,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.000000000000000000,84.907400218664487645
India,Ladakh,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.000000000000000000,0.000000000000000000
India,Ladakh,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.000000000000000000,0.000000000000000000
India,Ladakh,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.000000000000000000,23.440484236339206255
India,Ladakh,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.000000000000000000,0.000000000000000000
India,Lakshadweep,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Lakshadweep,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Lakshadweep,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Lakshadweep,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Lakshadweep,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Lakshadweep,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Lakshadweep,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,117605.96
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,30052.45
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,8443.85
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,23910.30
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,31341.15
India,Maharashtra,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,53976.57
India,Maharashtra,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Maharashtra,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,65504.50
India,Maharashtra,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Maharashtra,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Maharashtra,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,23087.95
India,Maharashtra,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,220107.65
India,Manipur,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Manipur,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Manipur,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Manipur,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Manipur,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Manipur,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Manipur,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Meghalaya,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Meghalaya,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Meghalaya,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Meghalaya,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,Meghalaya,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Meghalaya,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Meghalaya,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Mizoram,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Mizoram,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Mizoram,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Mizoram,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
